Player,Team,Position,Fantasy_team,Is_starter,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,GS2,EG,EA,EGI,EGC,GW
Raya,ARS,GKP,Los manolotos,True,90,0,0,1,0,0,0,0,0,0,3,1,28,28,0,0,2.8,1,0,0,0,0.47,1
Pedro Porro,TOT,DEF,Los manolotos,True,90,1,0,0,1,0,0,0,0,0,0,1,28,50,59.3,21,13,1,0.09,0.32,0.41,0.96,1
Muñoz,CRY,DEF,Los manolotos,True,90,0,1,0,2,0,0,0,0,0,0,0,11,12.2,13.4,6,3.2,1,0,0.02,0.02,1.59,1
Dunk,BHA,DEF,Los manolotos,True,75,0,0,1,0,0,0,0,0,0,0,0,23,7,0.3,6,1.3,1,0.07,0,0.07,0.45,1
Pinnock,BRE,DEF,Los manolotos,True,90,0,0,0,1,1,0,0,0,0,0,0,3,18.8,0.1,17,3.6,1,0.01,0,0.01,1.17,1
Luis Díaz,LIV,MID,Los manolotos,True,90,0,0,1,0,0,0,0,0,0,0,0,13,9.6,37.1,31,7.8,1,0.46,0.38,0.84,0.45,1
Mitoma,BHA,MID,Los manolotos,True,88,1,0,1,0,0,0,0,0,0,0,0,27,48.2,4.1,80,13.2,1,0.97,0.04,1.01,0.45,1
Kulusevski,TOT,MID,Los manolotos,True,11,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1.3,22,2.6,0,0,0.17,0.17,0.12,1
Elanga,NFO,MID,Los manolotos,True,53,0,0,0,0,0,0,0,0,0,0,0,13,10.4,25.1,9,4.5,1,0.02,0.16,0.18,0.55,1
Havertz,ARS,FWD,Los manolotos,True,90,1,1,1,0,0,0,0,0,0,0,3,48,54.8,24.1,46,12.5,1,0.45,0.04,0.49,0.47,1
João Pedro,BHA,FWD,Los manolotos,True,81,0,0,1,0,0,0,0,0,0,0,0,9,5,10.8,7,2.3,1,0.03,0.02,0.05,0.45,1
Neto,ARS,GKP,Los manolotos,False,90,0,0,0,1,0,0,0,0,0,7,0,17,47,0,0,4.7,1,0,0,0,1.3,1
Daka,LEI,FWD,Los manolotos,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Madueke,CHE,MID,Los manolotos,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kerkez,BOU,DEF,Los manolotos,False,90,0,0,0,1,0,0,0,1,0,0,0,5,12,12.7,2,2.7,1,0,0.01,0.01,1.3,1
Raya,ARS,GKP,Los manolotos,True,90,0,0,1,0,0,0,0,0,0,3,3,27,28.2,0,0,2.8,1,0,0,0,1.28,2
Pedro Porro,TOT,DEF,Los manolotos,True,90,0,0,1,0,0,0,0,0,0,0,0,23,25.2,21.5,1,4.8,1,0.03,0.11,0.14,1,2
Muñoz,CRY,DEF,Los manolotos,True,90,0,0,0,2,0,0,0,0,0,0,0,9,11.8,4.2,4,2,1,0,0.02,0.02,1.39,2
Dunk,BHA,DEF,Los manolotos,True,90,0,0,0,1,0,0,0,0,0,0,0,11,16.2,11.1,0,2.7,1,0,0.01,0.01,1.43,2
Luis Díaz,LIV,MID,Los manolotos,True,71,1,1,1,0,0,0,0,0,0,0,3,51,68.6,48.7,44,16.1,1,0.87,0.17,1.04,0.36,2
