Player,Team,Position,Fantasy_team,Is_starter,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,GS2,EG,EA,EGI,EGC,GW
Pickford,EVE,GKP,Mi Bebito siu siu .3,True,90,0,0,0,3,0,0,0,0,0,2,0,2,23.8,0,0,2.4,1,0,0.02,0.02,1.43,1
Mykolenko,EVE,DEF,Mi Bebito siu siu .3,True,90,0,0,0,3,0,0,0,0,0,0,0,-5,4.8,1.2,2,0.8,1,0,0,0,1.43,1
Robinson,FUL,DEF,Mi Bebito siu siu .3,True,90,0,0,0,1,0,0,0,0,0,0,0,15,29.2,1.5,2,3.3,1,0,0.01,0.01,2.43,1
Castagne,FUL,DEF,Mi Bebito siu siu .3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
M.Salah,LIV,MID,Mi Bebito siu siu .3,True,90,1,1,1,0,0,0,0,0,0,0,3,38,58,24.4,70,15.2,1,0.7,0.15,0.85,0.45,1
Trossard,ARS,MID,Mi Bebito siu siu .3,True,10,0,0,0,0,0,0,0,0,0,0,0,2,4.2,0.3,0,0.5,0,0,0,0,0.15,1
Iwobi,FUL,MID,Mi Bebito siu siu .3,True,90,0,0,0,1,0,0,0,0,0,0,0,5,11,10.9,13,3.5,1,0.04,0.15,0.19,2.43,1
Sancho,CHE,MID,Mi Bebito siu siu .3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Richarlison,TOT,FWD,Mi Bebito siu siu .3,True,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,7,0.7,0,0.19,0,0.19,0.06,1
Awoniyi,NFO,FWD,Mi Bebito siu siu .3,True,18,0,0,0,1,0,0,0,0,0,0,0,6,3.4,1,19,2.3,0,0.12,0.03,0.15,0.59,1
Edouard,LEI,FWD,Mi Bebito siu siu .3,True,45,0,0,0,1,0,0,0,0,0,0,0,1,0,10.7,5,1.5,0,0.05,0.02,0.07,1.09,1
Petrović,CHE,GKP,Mi Bebito siu siu .3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rodrigo,MCI,MID,Mi Bebito siu siu .3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wan-Bissaka,WHU,DEF,Mi Bebito siu siu .3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aké,MCI,DEF,Mi Bebito siu siu .3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pickford,EVE,GKP,Mi Bebito siu siu .3,True,90,0,0,0,4,0,0,0,0,0,3,0,-5,21.2,0.1,0,2.1,1,0,0,0,2.43,2
W.Fofana,CHE,DEF,Mi Bebito siu siu .3,True,90,0,0,0,2,0,0,0,0,0,0,0,2,4.2,0.3,0,0.5,1,0,0,0,1.92,2
Robinson,FUL,DEF,Mi Bebito siu siu .3,True,90,0,1,0,1,0,0,0,0,0,0,2,31,42.4,31.4,2,7.6,1,0,0.11,0.11,0.61,2
Wan-Bissaka,WHU,DEF,Mi Bebito siu siu .3,True,28,0,0,0,0,0,0,0,0,0,0,0,4,4.2,0.1,0,0.4,0,0,0,0,0.56,2
M.Salah,LIV,MID,Mi Bebito siu siu .3,True,82,1,0,1,0,0,0,0,0,0,0,2,34,38.8,6.2,52,9.7,1,0.5,0.25,0.75,0.36,2
Trossard,ARS,MID,Mi Bebito siu siu .3,True,25,1,0,0,0,0,0,0,0,0,0,1,25,33.6,0.5,26,6,0,0.18,0.02,0.2,0.16,2
Iwobi,FUL,MID,Mi Bebito siu siu .3,True,90,1,0,0,1,0,0,0,0,0,0,1,30,39.2,16.2,36,9.1,1,0.21,0.05,0.26,0.61,2
Joelinton,NEW,MID,Mi Bebito siu siu .3,True,90,0,0,0,1,0,0,0,1,0,0,0,5,14.8,16.5,17,4.8,1,0.07,0.03,0.1,2.23,2
Evanilson,BOU,FWD,Mi Bebito siu siu .3,True,71,0,0,1,0,0,0,0,0,0,0,0,7,11.2,2.8,35,4.9,1,0.75,0,0.75,0.59,2
Awoniyi,NFO,FWD,Mi Bebito siu siu .3,True,15,0,0,0,0,0,0,0,0,0,0,0,4,4.4,1.5,2,0.8,0,0,0,0,0,2
Edouard,LEI,FWD,Mi Bebito siu siu .3,True,70,0,0,0,1,0,0,0,0,0,0,0,2,0.8,2.3,27,3,1,0.34,0.01,0.35,1.03,2
Petrović,CHE,GKP,Mi Bebito siu siu .3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rodrigo,MCI,MID,Mi Bebito siu siu .3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Aké,MCI,DEF,Mi Bebito siu siu .3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Castagne,FUL,DEF,Mi Bebito siu siu .3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Pickford,EVE,GKP,Mi Bebito siu siu .3,True,90,0,0,0,3,0,0,0,0,0,4,0,5,29,0,0,2.9,1,0,0,0,2.22,3
W.Fofana,CHE,DEF,Mi Bebito siu siu .3,True,90,0,0,0,1,0,0,0,1,0,0,0,19,24.2,23.4,2,5,1,0,0.02,0.02,0.44,3
Robinson,FUL,DEF,Mi Bebito siu siu .3,True,90,0,1,0,1,0,0,0,1,0,0,0,21,29,16.2,0,4.5,1,0,0.06,0.06,0.45,3
Wan-Bissaka,WHU,DEF,Mi Bebito siu siu .3,True,90,0,0,0,3,0,0,0,0,0,0,0,8,20.4,30.8,0,5.1,1,0,0.05,0.05,3,3
Mavropanos,WHU,DEF,Mi Bebito siu siu .3,True,90,0,0,0,3,0,0,0,0,0,0,0,2,16.2,0.9,0,1.7,1,0,0.01,0.01,3,3
M.Salah,LIV,MID,Mi Bebito siu siu .3,True,90,1,2,1,0,0,0,0,0,0,0,3,60,76.8,42.1,42,16.1,1,0.5,0.63,1.13,1.36,3
Trossard,ARS,MID,Mi Bebito siu siu .3,True,58,0,0,0,1,0,0,0,0,0,0,0,11,9.4,15.2,21,4.6,1,0.03,0.08,0.11,0.93,3
Iwobi,FUL,MID,Mi Bebito siu siu .3,True,86,0,0,0,1,0,0,0,0,0,0,0,16,11.4,24.4,19,5.5,1,0.03,0.14,0.17,0.36,3
Joelinton,NEW,MID,Mi Bebito siu siu .3,True,90,0,0,0,1,0,0,0,1,0,0,0,-5,0.2,3.3,4,0.8,1,0,0.01,0.01,1.26,3
Evanilson,BOU,FWD,Mi Bebito siu siu .3,True,64,0,0,0,2,0,0,0,0,0,0,0,3,0,0.8,7,0.6,1,0.2,0.07,0.27,1.71,3
Awoniyi,NFO,FWD,Mi Bebito siu siu .3,True,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.01,3
Petrović,CHE,GKP,Mi Bebito siu siu .3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Edouard,LEI,FWD,Mi Bebito siu siu .3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Aké,MCI,DEF,Mi Bebito siu siu .3,False,2,0,0,0,0,0,0,0,0,0,0,0,4,3.4,0.5,0,0.4,0,0,0,0,0.09,3
Rodrigo,MCI,MID,Mi Bebito siu siu .3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
