Player,Team,Position,Fantasy_team,Is_starter,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,GS2,EG,EA,EGI,EGC,GW
Pope,NEW,GKP,Comandantes,True,90,0,0,1,0,0,0,0,0,0,3,2,27,25.2,0,0,2.5,1,0,0,0,1.77,1
Alexander-Arnold,LIV,DEF,Comandantes,True,76,0,0,1,0,0,0,0,0,0,0,2,31,9,43.7,3,5.6,1,0.06,1,1.06,0.41,1
Saliba,ARS,DEF,Comandantes,True,90,0,0,1,0,0,0,0,0,0,0,0,26,14.8,0.9,0,1.6,1,0,0,0,0.47,1
Kilman,WHU,DEF,Comandantes,True,90,0,0,0,2,0,0,0,0,0,0,0,9,31.2,11.3,2,4.5,1,0,0.07,0.07,2.03,1
Lewis,MCI,DEF,Comandantes,True,90,0,0,1,0,0,0,0,0,0,0,0,22,15,3.3,8,2.6,1,0,0.01,0.01,1.01,1
Bernardo,MCI,MID,Comandantes,True,90,0,1,1,0,0,0,0,0,0,0,0,26,32,38.1,30,10,1,0.13,0.2,0.33,1.01,1
Bailey,AVL,MID,Comandantes,True,73,0,0,0,1,0,0,0,1,0,0,0,1,0,30.5,13,4.2,1,0.21,0.21,0.42,1.39,1
Werner,TOT,MID,Comandantes,True,12,0,0,0,0,0,0,0,0,0,0,0,3,2.2,5.8,4,1.2,0,0,0.02,0.02,0.12,1
Diogo J.,LIV,MID,Comandantes,True,78,1,0,1,0,0,0,0,0,0,0,0,24,36.8,4.9,41,8.3,1,0.95,0.04,0.99,0.41,1
Andreas,FUL,MID,Comandantes,True,90,0,0,0,1,0,0,0,1,0,0,0,15,11,83,2,9.6,1,0,0.16,0.16,1.77,1
Strand Larsen,WOL,FWD,Comandantes,True,83,0,0,0,2,0,0,0,0,0,0,0,2,2.4,1.9,23,2.7,1,0.08,0,0.08,1.24,1
Dúbravka,NEW,GKP,Comandantes,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Darwin,LIV,FWD,Comandantes,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Delap,IPS,FWD,Comandantes,False,73,0,0,0,2,0,0,0,0,0,0,0,8,6.4,20.7,8,3.5,1,0,0,0,2.07,1
Nedeljkovic,AVL,DEF,Comandantes,False,8,0,0,0,0,0,0,0,0,0,0,0,6,4.2,0.3,0,0.5,0,0,0,0,1.04,1
Pope,NEW,GKP,Comandantes,True,90,0,0,0,1,0,0,0,0,0,3,0,14,25.6,0,0,2.6,1,0,0,0,2.23,2
Alexander-Arnold,LIV,DEF,Comandantes,True,71,0,0,1,0,0,0,0,0,0,0,0,29,20.4,46,12,7.8,1,0.1,0.53,0.63,0.36,2
Saliba,ARS,DEF,Comandantes,True,90,0,0,1,0,0,0,0,0,0,0,0,24,23.8,1.2,0,2.5,1,0,0.01,0.01,1.28,2
Kilman,WHU,DEF,Comandantes,True,90,0,1,1,0,0,0,0,0,0,0,3,40,39.2,21,4,6.4,1,0.06,0.01,0.07,1.35,2
Lewis,MCI,DEF,Comandantes,True,90,0,0,0,1,0,0,0,0,0,0,0,9,7,8.8,24,4,1,0.53,0.06,0.59,0.29,2
Bernardo,MCI,MID,Comandantes,True,90,0,0,0,1,0,0,0,0,0,0,0,9,1.6,12.5,15,2.9,1,0.11,0.07,0.18,0.29,2
Bailey,AVL,MID,Comandantes,True,90,0,0,0,2,0,0,0,0,0,0,0,10,14.6,14.5,17,4.6,1,0.04,0.02,0.06,0.87,2
Diogo J.,LIV,MID,Comandantes,True,71,0,1,1,0,0,0,0,0,0,0,0,19,17.6,24.9,26,6.9,1,0.59,0.06,0.65,0.36,2
Andreas,FUL,MID,Comandantes,True,85,0,0,0,1,0,0,0,0,0,0,0,22,17.2,96.3,5,11.9,1,0.06,0.37,0.43,0.47,2
A.Fatawu,LEI,MID,Comandantes,True,90,0,0,0,2,0,0,0,0,0,0,0,11,13.4,4.8,20,3.8,1,0.06,0,0.06,1.78,2
Darwin,LIV,FWD,Comandantes,True,18,0,0,0,0,0,0,0,0,0,0,0,2,1.4,3.8,2,0.7,0,0,0,0,0,2
Dúbravka,NEW,GKP,Comandantes,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Strand Larsen,WOL,FWD,Comandantes,False,90,1,0,0,6,0,0,0,0,0,0,0,35,44.2,11.8,25,8.1,1,0.58,0.16,0.74,1.56,2
Delap,IPS,FWD,Comandantes,False,82,0,0,0,3,0,0,0,0,0,0,0,-3,1.6,0.9,6,0.9,1,0,0.01,0.01,3.3,2
Nedeljkovic,AVL,DEF,Comandantes,False,74,0,0,0,2,0,0,0,0,0,0,0,1,15.6,5.2,0,2.1,0,0,0.01,0.01,0.75,2
Pope,NEW,GKP,Comandantes,True,90,0,0,0,1,0,0,0,0,0,6,0,16,34.8,0,0,3.5,1,0,0,0,1.26,3
Alexander-Arnold,LIV,DEF,Comandantes,True,75,0,0,1,0,0,0,0,0,0,0,0,17,8.4,5.4,0,1.4,1,0,0.01,0.01,0.83,3
Saliba,ARS,DEF,Comandantes,True,90,0,0,0,1,0,0,0,0,0,0,0,10,22,1.3,0,2.3,1,0,0.01,0.01,1.83,3
Lewis,MCI,DEF,Comandantes,True,90,0,1,0,1,0,0,0,0,0,0,1,24,35.6,16.8,8,6,1,0.09,0.09,0.18,0.73,3
Bailey,AVL,MID,Comandantes,True,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,1,0,0.01,0.01,0,3
Bernardo,MCI,MID,Comandantes,True,90,0,1,0,1,0,0,0,0,0,0,2,28,22.6,56.5,45,12.4,1,0.29,0.5,0.79,0.73,3
Diogo J.,LIV,MID,Comandantes,True,75,0,0,1,0,0,0,0,0,0,0,0,-2,0,2,12,1.2,1,0.07,0.01,0.08,0.83,3
Andreas,FUL,MID,Comandantes,True,86,0,0,0,1,0,0,0,0,0,0,0,10,5.2,20.8,0,2.6,1,0,0.48,0.48,0.36,3
A.Fatawu,LEI,MID,Comandantes,True,67,0,0,0,2,0,0,0,0,0,0,0,11,7.8,1.4,18,2.7,1,0.05,0.01,0.06,1.46,3
Strand Larsen,WOL,FWD,Comandantes,True,85,0,0,0,1,0,0,0,0,0,0,0,6,1.4,11.2,4,1.7,1,0,0.04,0.04,0.89,3
Darwin,LIV,FWD,Comandantes,True,14,0,0,0,0,0,0,0,0,0,0,0,3,2.4,1.1,1,0.5,0,0.15,0,0.15,0.53,3
Dúbravka,NEW,GKP,Comandantes,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Delap,IPS,FWD,Comandantes,False,80,1,0,0,1,0,0,0,0,0,0,1,30,38.2,13.3,33,8.5,1,0.21,0,0.21,0.9,3
Kilman,WHU,DEF,Comandantes,False,90,0,0,0,3,0,0,0,1,0,0,0,-5,15,0.3,7,2.2,1,0.22,0,0.22,3,3
Nedeljkovic,AVL,DEF,Comandantes,False,11,0,0,0,0,0,0,0,0,0,0,0,6,2.4,0.8,0,0.3,0,0,0.01,0.01,0.05,3
Pope,NEW,GKP,Comandantes,True,90,0,0,0,1,0,0,0,0,0,4,0,12,33.6,0,0,3.4,1,0,0,0,0.99,4
Alexander-Arnold,LIV,DEF,Comandantes,True,90,0,0,0,1,0,0,0,1,0,0,0,1,23.4,62,4,8.9,1,0.02,0.33,0.35,0.44,4
Saliba,ARS,DEF,Comandantes,True,90,0,0,1,0,0,0,0,1,0,0,0,22,8.2,0.4,2,1.1,1,0,0.01,0.01,0.74,4
Lewis,MCI,DEF,Comandantes,True,45,0,0,0,1,0,0,0,0,0,0,0,1,13.6,12.8,2,2.8,1,0,0.02,0.02,0.92,4
Bernardo,MCI,MID,Comandantes,True,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0.2,0,0,0,0,0,0,0.04,4
Diogo J.,LIV,MID,Comandantes,True,59,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.9,43,4.5,1,0.3,0,0.3,0.14,4
Andreas,FUL,MID,Comandantes,True,85,0,0,1,0,0,0,0,0,0,0,0,7,1.6,27.3,15,4.4,1,0.21,0.03,0.24,0.44,4
A.Fatawu,LEI,MID,Comandantes,True,18,0,0,0,1,0,0,0,0,0,0,0,1,1.2,0.3,2,0.4,0,0.01,0,0.01,1.17,4
Delap,IPS,FWD,Comandantes,True,58,0,0,0,0,0,0,0,0,0,0,0,-4,0,3,7,0.8,1,0.21,0,0.21,1.22,4
Strand Larsen,WOL,FWD,Comandantes,True,85,0,1,0,2,0,0,0,0,0,0,0,14,16,16.2,21,5.3,1,0.13,0.18,0.31,0.83,4
Darwin,LIV,FWD,Comandantes,True,30,0,0,0,1,0,0,0,0,0,0,0,5,4.2,10.6,0,1.5,0,0,0,0,0.3,4
Dúbravka,NEW,GKP,Comandantes,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bailey,AVL,MID,Comandantes,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Kilman,WHU,DEF,Comandantes,False,90,0,0,0,1,0,0,0,0,0,0,0,9,15.4,0.7,0,1.6,1,0,0,0,1.54,4
Nedeljkovic,AVL,DEF,Comandantes,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Pope,NEW,GKP,Comandantes,True,90,0,0,0,3,0,0,0,0,0,8,0,9,53,0,0,5.3,1,0,0,0,2.29,5
Alexander-Arnold,LIV,DEF,Comandantes,True,90,0,1,1,0,0,0,0,0,0,0,2,39,35.2,26,2,6.3,1,0,0.13,0.13,1.08,5
Saliba,ARS,DEF,Comandantes,True,90,0,0,0,2,0,0,0,0,0,0,0,7,24.2,0.3,0,2.5,1,0,0,0,2.16,5
Kilman,WHU,DEF,Comandantes,True,90,0,0,0,3,0,0,0,1,0,0,0,1,11.2,12.3,0,2.4,1,0,0.02,0.02,2.19,5
Bernardo,MCI,MID,Comandantes,True,90,0,0,0,2,0,0,0,1,0,0,0,10,10.4,58.4,20,8.9,1,0.06,0.25,0.31,0.65,5
A.Fatawu,LEI,MID,Comandantes,True,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0.3,0,0,0,0,0,0,0.08,5
Bailey,AVL,MID,Comandantes,True,45,0,0,0,0,0,0,0,0,0,0,0,7,3.6,17.4,19,4,0,0.07,0.33,0.4,0,5
Andreas,FUL,MID,Comandantes,True,66,0,0,0,1,0,0,0,1,0,0,0,6,12.6,43.7,20,7.6,1,0.06,0.08,0.14,0.42,5
Darwin,LIV,FWD,Comandantes,True,71,1,0,1,0,0,0,0,0,0,0,0,29,43.6,2.3,45,9.1,1,0.31,0.01,0.32,0.54,5
Delap,IPS,FWD,Comandantes,True,72,0,0,0,1,0,0,0,1,0,0,0,6,0,0.8,4,0.4,1,0.05,0.03,0.08,2.13,5
Strand Larsen,WOL,FWD,Comandantes,True,64,0,0,1,0,0,0,0,0,0,0,0,6,3.4,0.9,24,2.8,1,0.05,0.01,0.06,0.13,5
Dúbravka,NEW,GKP,Comandantes,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
