Player,Team,Position,Fantasy_team,Is_starter,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,GS2,EG,EA,EGI,EGC,GW
Leno,FUL,GKP,Ignagol,True,90,0,0,0,1,0,0,0,0,0,4,0,12,33,0,0,3.3,1,0,0,0,2.43,1
Gvardiol,MCI,DEF,Ignagol,True,90,0,0,1,0,0,0,0,0,0,0,1,30,23.2,3.3,5,3.2,1,0.03,0.02,0.05,1.01,1
Akanji,MCI,DEF,Ignagol,True,90,0,0,1,0,0,0,0,0,0,0,0,28,16.2,1.6,0,1.8,1,0,0.01,0.01,1.01,1
Burn,NEW,DEF,Ignagol,True,90,0,0,1,0,0,0,0,1,0,0,0,18,17.4,0,0,1.7,1,0,0,0,1.77,1
Livramento,NEW,DEF,Ignagol,True,90,0,0,1,0,0,0,0,0,0,0,1,25,20,0.6,0,2.1,1,0,0,0,1.77,1
Nkunku,CHE,MID,Ignagol,True,57,0,0,0,1,0,0,0,0,0,0,0,6,7.8,13.5,13,3.4,1,0.15,0.06,0.21,0.66,1
Doku,MCI,MID,Ignagol,True,90,0,0,1,0,0,0,0,0,0,0,0,20,12.8,23.3,29,6.5,1,0.13,0.09,0.22,1.01,1
Johnson,TOT,MID,Ignagol,True,77,0,0,0,1,0,0,0,0,0,0,0,8,13.6,14.4,31,5.9,1,0.12,0.08,0.2,0.9,1
Ward-Prowse,WHU,MID,Ignagol,True,16,0,0,0,1,0,0,0,0,0,0,0,3,3.4,1.4,0,0.5,0,0,0,0,0.27,1
Füllkrug,WHU,FWD,Ignagol,True,17,0,0,0,1,0,0,0,0,0,0,0,2,1.2,0.4,0,0.2,0,0,0,0,0.27,1
Vardy,LEI,FWD,Ignagol,True,78,1,0,0,1,0,0,0,0,0,0,2,33,40.4,0.1,54,9.5,1,0.8,0,0.8,0.98,1
Ramsdale,SOU,GKP,Ignagol,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sterling,ARS,MID,Ignagol,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senesi,BOU,DEF,Ignagol,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Maupay,EVE,FWD,Ignagol,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leno,FUL,GKP,Ignagol,True,90,0,0,0,1,0,0,0,0,0,3,0,14,21.2,0,0,2.1,1,0,0,0,0.61,2
