Player,Team,Position,Fantasy_team,Is_starter,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,GS2,EG,EA,EGI,EGC,GW
Martinez,AVL,GKP,Jagger Athletic,True,90,0,0,0,1,0,0,0,0,0,3,0,11,25.8,0,0,2.6,1,0,0,0,2.46,1
Martinez,MUN,DEF,Jagger Athletic,True,90,0,0,1,0,0,0,0,0,0,0,1,26,19.4,11.9,0,3.1,1,0,0.02,0.02,0.44,1
Robertson,LIV,DEF,Jagger Athletic,True,78,0,0,1,0,0,0,0,0,0,0,0,24,12,17.1,4,3.3,1,0,0.13,0.13,0.41,1
Digne,AVL,DEF,Jagger Athletic,True,73,0,0,0,1,0,0,0,0,0,0,0,14,14.4,19.2,0,3.4,1,0,0.13,0.13,1.39,1
Palmer,CHE,MID,Jagger Athletic,True,90,0,0,0,2,0,0,0,0,0,0,0,18,20.4,37.8,10,6.8,1,0.07,0.19,0.26,0.77,1
Mac Allister,LIV,MID,Jagger Athletic,True,90,0,0,1,0,0,0,0,0,0,0,0,7,2.6,9.3,7,1.9,1,0.1,0.06,0.16,0.45,1
Savinho,MCI,MID,Jagger Athletic,True,45,0,0,0,0,0,0,0,0,0,0,0,8,11.6,36.4,4,5.2,1,0,0.16,0.16,0.3,1
Szoboszlai,LIV,MID,Jagger Athletic,True,90,0,1,1,0,0,0,0,0,0,0,1,28,10.4,41.2,15,6.7,1,0.15,0.24,0.39,0.45,1
Enzo,CHE,MID,Jagger Athletic,True,90,0,0,0,2,0,0,0,0,0,0,0,16,9.6,10,26,4.6,1,0.22,0.08,0.3,0.77,1
Zirkzee,MUN,FWD,Jagger Athletic,True,29,1,0,0,0,0,0,0,0,0,0,3,33,33.2,1.8,17,5.2,0,0.07,0,0.07,0.23,1
Antonio,WHU,FWD,Jagger Athletic,True,72,0,0,0,1,0,0,0,0,0,0,0,4,0,0.4,11,0.8,1,0.15,0,0.15,1.76,1
Foderingham,WHU,GKP,Jagger Athletic,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N.Jackson,CHE,FWD,Jagger Athletic,False,65,0,0,0,1,0,0,0,0,0,0,0,3,4.6,23.6,23,5.1,1,0.47,0.06,0.53,0.66,1
Calafiori,ARS,DEF,Jagger Athletic,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O'Brien,EVE,DEF,Jagger Athletic,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Martinez,AVL,GKP,Jagger Athletic,True,90,0,0,0,2,0,0,0,0,0,2,0,10,18.4,0,0,1.8,1,0,0,0,0.87,2
Robertson,LIV,DEF,Jagger Athletic,True,90,0,0,1,0,0,0,0,0,0,0,0,29,22,47.1,52,12.1,1,0.3,0.19,0.49,0.36,2
Digne,AVL,DEF,Jagger Athletic,True,75,0,0,0,1,0,0,0,0,0,0,0,8,18.6,1.8,0,2,1,0,0.03,0.03,0.49,2
Martinez,MUN,DEF,Jagger Athletic,True,90,0,0,0,2,0,0,0,0,0,0,0,8,10.2,4.3,0,1.5,1,0,0.19,0.19,2.09,2
Palmer,CHE,MID,Jagger Athletic,True,82,1,3,0,2,0,0,0,1,0,0,2,61,82.8,43.8,21,14.8,1,0.67,0.15,0.82,1.8,2
Mac Allister,LIV,MID,Jagger Athletic,True,90,0,0,1,0,0,0,0,0,0,0,0,13,12.2,26.1,8,4.6,1,0,0.11,0.11,0.36,2
Savinho,MCI,MID,Jagger Athletic,True,70,0,2,0,1,0,0,0,0,0,0,1,36,29.2,33.8,14,7.7,1,0,0.2,0.2,0.29,2
Szoboszlai,LIV,MID,Jagger Athletic,True,90,0,0,1,0,0,0,0,1,0,0,0,9,15.6,31.4,13,6,1,0.06,0.41,0.47,0.36,2
Enzo,CHE,MID,Jagger Athletic,True,90,0,0,0,2,0,0,0,0,0,0,0,15,20.8,25.4,4,5,1,0,0.04,0.04,1.92,2
N.Jackson,CHE,FWD,Jagger Athletic,True,67,1,1,0,2,0,0,0,0,0,0,1,39,52.2,24,39,11.5,1,0.17,0.01,0.18,1.8,2
Zirkzee,MUN,FWD,Jagger Athletic,True,45,0,0,0,1,0,0,0,0,0,0,0,5,11.4,11,4,2.6,0,0,0.03,0.03,1.28,2
Foderingham,WHU,GKP,Jagger Athletic,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Antonio,WHU,FWD,Jagger Athletic,False,61,0,0,1,0,0,0,0,0,0,0,0,-2,0,4,14,1.4,1,0.56,0.01,0.57,0.79,2
Calafiori,ARS,DEF,Jagger Athletic,False,11,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0.16,2
Veltman,BHA,DEF,Jagger Athletic,False,90,0,0,0,1,0,0,0,0,0,0,0,16,16.6,25.9,2,4.5,1,0,0.45,0.45,1.43,2
Martinez,AVL,GKP,Jagger Athletic,True,90,0,0,0,1,0,0,0,0,0,2,0,12,15.6,0,0,1.6,1,0,0,0,0.45,3
Robertson,LIV,DEF,Jagger Athletic,True,82,0,0,1,0,0,0,0,0,0,0,0,25,9.6,22,0,3.2,1,0,0.07,0.07,1.34,3
Martinez,MUN,DEF,Jagger Athletic,True,90,0,0,0,3,0,0,0,1,0,0,0,-5,9.6,1.3,4,1.5,1,0.34,0.01,0.35,1.73,3
Digne,AVL,DEF,Jagger Athletic,True,90,0,1,0,1,0,0,0,0,0,0,2,23,36.4,19.9,0,5.6,1,0,0.1,0.1,0.45,3
Palmer,CHE,MID,Jagger Athletic,True,90,0,1,0,1,0,0,0,1,0,0,2,29,30.8,62.2,14,10.7,1,0.11,0.7,0.81,0.44,3
Mac Allister,LIV,MID,Jagger Athletic,True,90,0,0,1,0,0,0,0,0,0,0,0,16,19.4,13.8,0,3.3,1,0,0.04,0.04,1.36,3
Szoboszlai,LIV,MID,Jagger Athletic,True,90,0,1,1,0,0,0,0,0,0,0,0,27,28.6,39.3,8,7.6,1,0.03,0.15,0.18,1.36,3
Enzo,CHE,MID,Jagger Athletic,True,90,0,0,0,1,0,0,0,0,0,0,0,11,13.2,27.5,4,4.5,1,0,0.08,0.08,0.44,3
Antonio,WHU,FWD,Jagger Athletic,True,70,0,0,0,2,0,0,0,0,0,0,0,7,2,1,8,1.1,1,0.11,0,0.11,2.24,3
N.Jackson,CHE,FWD,Jagger Athletic,True,90,1,0,0,1,0,0,0,1,0,0,1,27,37,0.6,77,11.5,1,1.34,0,1.34,0.44,3
Zirkzee,MUN,FWD,Jagger Athletic,True,85,0,0,0,3,0,0,0,1,0,0,0,-6,0.8,4,39,4.4,1,0.88,0.02,0.9,1.3,3
Foderingham,WHU,GKP,Jagger Athletic,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Savinho,MCI,MID,Jagger Athletic,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Calafiori,ARS,DEF,Jagger Athletic,False,31,0,0,0,0,0,0,0,0,0,0,0,3,2,0.1,0,0.2,0,0,0,0,0.89,3
Veltman,BHA,DEF,Jagger Athletic,False,71,0,0,0,1,0,0,0,0,0,0,0,5,7.2,1.7,5,1.4,1,0.05,0.01,0.06,1.13,3
Martinez,AVL,GKP,Jagger Athletic,True,90,0,0,0,2,0,0,0,1,0,0,0,-3,4,0,0,0.4,1,0,0,0,0.9,4
Robertson,LIV,DEF,Jagger Athletic,True,74,0,0,0,1,0,0,0,1,0,0,0,6,3,20.9,0,2.4,1,0,0.09,0.09,0.25,4
Martinez,MUN,DEF,Jagger Athletic,True,76,0,0,1,0,0,0,0,0,0,0,0,34,17,0.7,0,1.8,1,0,0,0,1.12,4
Digne,AVL,DEF,Jagger Athletic,True,68,0,1,0,2,0,0,0,0,0,0,0,26,30.8,54,2,8.7,1,0,0.68,0.68,0.67,4
Palmer,CHE,MID,Jagger Athletic,True,90,0,0,1,0,0,0,0,0,0,0,0,15,11.8,13.3,0,2.5,1,0,0.03,0.03,1.78,4
Mac Allister,LIV,MID,Jagger Athletic,True,59,0,0,0,0,0,0,0,0,0,0,0,17,6.2,14.1,17,3.7,1,0.06,0.6,0.66,0.14,4
Savinho,MCI,MID,Jagger Athletic,True,90,0,0,0,1,0,0,0,1,0,0,0,4,2.2,18.2,57,7.7,1,0.74,0.11,0.85,0.96,4
Szoboszlai,LIV,MID,Jagger Athletic,True,90,0,0,0,1,0,0,0,1,0,0,0,7,7,39.8,13,6,1,0.16,0.08,0.24,0.44,4
Antonio,WHU,FWD,Jagger Athletic,True,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1.8,2,0.3,1,0.02,0,0.02,0.78,4
N.Jackson,CHE,FWD,Jagger Athletic,True,78,0,0,1,0,0,0,0,1,0,0,0,0,1.4,5.4,26,3.3,1,0.31,0.01,0.32,1.55,4
Zirkzee,MUN,FWD,Jagger Athletic,True,90,0,0,1,0,0,0,0,0,0,0,0,8,15.4,24.3,55,9.5,1,1.14,0.03,1.17,1.12,4
Foderingham,WHU,GKP,Jagger Athletic,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Enzo,CHE,MID,Jagger Athletic,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Calafiori,ARS,DEF,Jagger Athletic,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
