Player,Team,Position,Fantasy_team,Is_starter,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,GS2,EG,EA,EGI,EGC,GW
Ederson M.,MCI,GKP,Los Santiagueños ⭐️,True,90,0,0,1,0,0,0,0,0,0,3,1,30,19.6,0,0,2,1,0,0,0,1.01,1
Gusto,CHE,DEF,Los Santiagueños ⭐️,True,90,0,0,0,2,0,0,0,0,0,0,0,0,7,2.8,6,1.6,1,0,0.07,0.07,0.77,1
Trippier,NEW,DEF,Los Santiagueños ⭐️,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barco,BHA,DEF,Los Santiagueños ⭐️,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ramsey,AVL,MID,Los Santiagueños ⭐️,True,28,0,1,0,0,0,0,0,0,0,0,0,18,18.4,12.3,7,3.8,0,0.06,0.13,0.19,1.17,1
Ødegaard,ARS,MID,Los Santiagueños ⭐️,True,90,0,0,1,0,0,0,0,0,0,0,0,16,15,24,15,5.4,1,0.02,0.06,0.08,0.47,1
Smith Rowe,FUL,MID,Los Santiagueños ⭐️,True,63,0,0,1,0,0,0,0,0,0,0,0,11,4,3.8,0,0.8,1,0,0,0,1.5,1
Kluivert,BOU,MID,Los Santiagueños ⭐️,True,26,0,0,0,0,0,0,0,1,0,0,0,0,1.8,6.7,6,1.5,0,0,0.02,0.02,0.28,1
Minteh,BHA,MID,Los Santiagueños ⭐️,True,45,0,1,0,0,0,0,0,0,0,0,0,18,25,31.4,8,6.4,1,0,0.65,0.65,0.25,1
Solanke,TOT,FWD,Los Santiagueños ⭐️,True,90,0,0,0,1,0,0,0,0,0,0,0,17,19,15.3,61,9.5,1,0.34,0.15,0.49,1.02,1
Cunha,WOL,FWD,Los Santiagueños ⭐️,True,33,0,0,0,1,0,0,0,0,0,0,0,9,13.8,16.2,17,4.7,0,0.06,0.02,0.08,0.25,1
Ortega Moreno,MCI,GKP,Los Santiagueños ⭐️,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Walker,MCI,DEF,Los Santiagueños ⭐️,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alex Moreno,NFO,DEF,Los Santiagueños ⭐️,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wilson,NEW,FWD,Los Santiagueños ⭐️,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
