Player,Team,Position,Fantasy_team,Is_starter,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,GS2,EG,EA,EGI,EGC,GW
A.Becker,LIV,GKP,Marculis ⭐️,True,90,0,0,1,0,0,0,0,0,0,2,1,28,18.4,0,0,1.8,1,0,0,0,0.45,1
Dalot,MUN,DEF,Marculis ⭐️,True,90,0,0,1,0,0,0,0,0,0,0,1,26,13.4,4.8,0,1.8,1,0,0.02,0.02,0.44,1
Virgil,LIV,DEF,Marculis ⭐️,True,90,0,0,1,0,0,0,0,0,0,0,0,24,8.8,1.5,4,1.4,1,0,0.01,0.01,0.45,1
Romero,TOT,DEF,Marculis ⭐️,True,90,0,0,0,1,0,0,0,0,0,0,0,13,13.6,2.9,4,2.1,1,0.09,0.03,0.12,1.02,1
Hudson-Odoi,NFO,MID,Marculis ⭐️,True,71,0,0,1,0,0,0,0,0,0,0,0,13,12.2,41.7,28,8.2,1,0.07,0.2,0.27,0.63,1
B.Fernandes,MUN,MID,Marculis ⭐️,True,90,0,0,1,0,0,0,0,0,0,0,0,10,15,8.3,49,7.2,1,1.19,0.03,1.22,0.44,1
Maddison,TOT,MID,Marculis ⭐️,True,78,0,1,0,1,0,0,0,0,0,0,0,25,31.6,52.8,15,9.9,1,0.02,0.98,1,0.9,1
Semenyo,BOU,MID,Marculis ⭐️,True,90,1,0,0,1,0,0,0,0,0,0,1,25,39,6.7,53,9.9,1,0.44,0.04,0.48,1.3,1
Hee Chan,WOL,MID,Marculis ⭐️,True,90,0,0,0,2,0,0,0,0,0,0,0,14,6,16.3,4,2.6,1,0,0.11,0.11,1.24,1
Isak,NEW,FWD,Marculis ⭐️,True,90,0,1,1,0,0,0,0,0,0,0,0,22,25.6,10.8,6,4.2,1,0,0.08,0.08,1.77,1
Calvert-Lewin,EVE,FWD,Marculis ⭐️,True,75,0,0,0,2,0,0,0,0,0,0,0,5,0,1.8,6,0.8,1,0,0.01,0.01,1.36,1
Hermansen,LEI,GKP,Marculis ⭐️,False,90,0,0,0,1,0,0,0,0,0,5,0,15,41.6,0,0,4.2,1,0,0,0,1.23,1
Ndiaye,EVE,FWD,Marculis ⭐️,False,27,0,0,0,1,0,0,0,0,0,0,0,3,5,0.2,2,0.7,0,0,0,0,0.3,1
