Player,Team,Position,Fantasy_team,Is_starter,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,GS2,EG,EA,EGI,EGC,GW
Henderson,CRY,GKP,Papezared ⭐️,True,90,0,0,0,2,0,0,0,0,0,3,0,5,26.4,0,0,2.6,1,0,0,0,1.59,1
White,ARS,DEF,Papezared ⭐️,True,90,0,0,1,0,0,0,0,0,0,0,0,22,5.8,1.3,8,1.5,1,0.07,0.06,0.13,0.47,1
Schär,NEW,DEF,Papezared ⭐️,True,27,0,0,0,0,0,0,0,0,1,0,0,-8,0,0.3,5,0.1,1,0.04,0,0.04,0.2,1
Andersen,FUL,DEF,Papezared ⭐️,True,90,0,0,0,2,0,0,0,1,0,0,0,3,18.4,2.9,7,2.8,1,0.04,0.02,0.06,1.59,1
Van de Ven,TOT,DEF,Papezared ⭐️,True,90,0,0,0,1,0,0,0,0,0,0,0,12,15,3.3,0,1.8,1,0,0.02,0.02,1.02,1
J.Murphy,NEW,MID,Papezared ⭐️,True,29,0,0,0,0,0,0,0,0,0,0,0,9,5,0.9,0,0.6,1,0,0.01,0.01,0.2,1
Amad,MUN,MID,Papezared ⭐️,True,60,0,0,1,0,0,0,0,0,0,0,0,11,7.4,19.1,6,3.3,1,0,0.13,0.13,0.21,1
De Bruyne,MCI,MID,Papezared ⭐️,True,90,0,0,1,0,0,0,0,0,0,0,0,14,5,15.3,4,2.4,1,0.07,0.32,0.39,1.01,1
Rice,ARS,MID,Papezared ⭐️,True,84,0,0,1,0,0,0,0,0,0,0,0,9,6.6,13.4,8,2.8,1,0.09,0.05,0.14,0.32,1
Rogers,AVL,MID,Papezared ⭐️,True,90,0,0,0,1,0,0,0,0,0,0,0,14,17.8,23.3,16,5.7,1,0.21,0.08,0.29,2.46,1
Watkins,AVL,FWD,Papezared ⭐️,True,61,0,0,0,1,0,0,0,0,0,0,0,3,0,0.2,4,0.3,1,0,0,0,1.28,1
Sánchez,CHE,GKP,Papezared ⭐️,False,90,0,0,0,2,0,0,0,0,0,3,0,7,23.4,0,0,2.3,1,0,0,0,0.77,1
Konsa,AVL,DEF,Papezared ⭐️,False,90,0,0,0,1,0,0,0,0,0,0,0,10,13.4,14.1,7,3.5,1,0.07,0.01,0.08,2.46,1
D.D.Fofana,CHE,FWD,Papezared ⭐️,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Højlund,MUN,FWD,Papezared ⭐️,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Henderson,CRY,GKP,Papezared ⭐️,True,90,0,0,0,2,0,0,0,0,0,1,0,1,11.4,0,0,1.1,1,0,0,0,1.39,2
White,ARS,DEF,Papezared ⭐️,True,90,0,0,1,0,0,0,0,0,0,0,0,23,9.2,6.8,4,2,1,0,0.02,0.02,1.28,2
Van de Ven,TOT,DEF,Papezared ⭐️,True,90,0,1,1,0,0,0,0,0,0,0,0,39,30.4,11.2,0,4.2,1,0,0.04,0.04,1,2
Walker-Peters,SOU,DEF,Papezared ⭐️,True,90,0,0,0,1,0,0,0,0,0,0,0,13,21,4.2,20,4.5,1,0.1,0.02,0.12,2.45,2
Justin,LEI,DEF,Papezared ⭐️,True,90,0,0,0,2,0,0,0,0,0,0,0,10,17.8,0.5,0,1.8,1,0,0,0,1.78,2
Amad,MUN,MID,Papezared ⭐️,True,89,1,0,0,1,0,0,0,1,0,0,0,19,34.8,18.4,23,7.6,1,0.33,0.11,0.44,1.5,2
I.Sarr,CRY,MID,Papezared ⭐️,True,19,0,0,0,1,0,0,0,0,0,0,0,6,1.4,15,6,2.2,0,0.1,0.17,0.27,0.36,2
Rice,ARS,MID,Papezared ⭐️,True,90,0,0,1,0,0,0,0,1,0,0,0,18,18.8,12.3,21,5.2,1,0.07,0.11,0.18,1.28,2
De Bruyne,MCI,MID,Papezared ⭐️,True,89,1,1,0,1,0,0,0,0,0,0,2,48,61.4,71.8,17,15,1,0.81,0.65,1.46,0.29,2
Rogers,AVL,MID,Papezared ⭐️,True,90,0,0,0,2,0,0,0,0,0,0,0,16,14.4,23.4,15,5.3,1,0.11,0.07,0.18,0.87,2
Watkins,AVL,FWD,Papezared ⭐️,True,64,0,0,1,0,0,0,0,0,0,0,0,-1,3.2,21.3,23,4.8,1,0.87,0,0.87,0.36,2
Sánchez,CHE,GKP,Papezared ⭐️,False,90,0,0,0,2,0,0,0,0,0,2,0,8,15,0,0,1.5,1,0,0,0,1.92,2
Colwill,CHE,DEF,Papezared ⭐️,False,90,0,0,0,2,0,0,0,0,0,0,0,10,21.2,0.4,0,2.2,1,0,0,0,1.92,2
D.D.Fofana,CHE,FWD,Papezared ⭐️,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Højlund,MUN,FWD,Papezared ⭐️,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sánchez,CHE,GKP,Papezared ⭐️,True,90,0,0,0,1,0,0,0,0,0,2,0,16,16.4,0,0,1.6,1,0,0,0,0.44,3
White,ARS,DEF,Papezared ⭐️,True,90,0,0,0,1,0,0,0,0,0,0,0,8,22,0.8,5,2.8,1,0.04,0,0.04,1.83,3
Faes,LEI,DEF,Papezared ⭐️,True,90,0,0,0,2,0,0,0,0,0,0,0,7,16,1.3,2,1.9,1,0,0.01,0.01,1.55,3
Van de Ven,TOT,DEF,Papezared ⭐️,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Alex Moreno,NFO,DEF,Papezared ⭐️,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Amad,MUN,MID,Papezared ⭐️,True,21,0,0,0,0,0,0,0,0,0,0,0,3,8.2,25.3,17,5.1,0,0.03,0.13,0.16,0.42,3
Rice,ARS,MID,Papezared ⭐️,True,48,0,0,0,1,0,0,0,0,1,0,0,-10,0,1.7,6,0.1,1,0.03,0.03,0.06,0.08,3
De Bruyne,MCI,MID,Papezared ⭐️,True,87,0,0,0,1,0,0,0,1,0,0,0,20,18.6,92.3,46,15.7,1,0.27,0.64,0.91,0.64,3
Rogers,AVL,MID,Papezared ⭐️,True,90,0,0,0,1,0,0,0,0,0,0,0,9,7.4,15.1,0,2.3,1,0,0.2,0.2,0.45,3
McNeil,EVE,MID,Papezared ⭐️,True,90,0,1,0,3,0,0,0,0,0,0,1,36,33.4,87.6,16,13.7,1,0.06,0.75,0.81,2.22,3
Watkins,AVL,FWD,Papezared ⭐️,True,60,0,1,1,0,0,0,0,0,0,0,0,12,17.2,12.1,26,5.5,1,0.71,0.01,0.72,0.17,3
Henderson,CRY,GKP,Papezared ⭐️,False,90,0,0,0,1,0,0,0,0,0,6,0,18,42.6,0,0,4.3,1,0,0,0,2.27,3
D.D.Fofana,CHE,FWD,Papezared ⭐️,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Højlund,MUN,FWD,Papezared ⭐️,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
