Player,Team,Position,Fantasy_team,Is_starter,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,GS2,EG,EA,EGI,EGC,GW
Onana,MUN,GKP,Varela Futbol Club,True,90,0,0,1,0,0,0,0,0,0,2,0,25,16.8,0,0,1.7,1,0,0,0,0.44,1
Rúben,MCI,DEF,Varela Futbol Club,True,90,0,0,1,0,0,0,0,0,0,0,0,27,14.2,0.5,0,1.5,1,0,0,0,1.01,1
Udogie,TOT,DEF,Varela Futbol Club,True,90,0,0,0,1,0,0,0,0,0,0,0,2,15.6,7.8,10,3.3,1,0,0.06,0.06,1.02,1
Konaté,LIV,DEF,Varela Futbol Club,True,45,0,0,0,0,0,0,0,0,0,0,0,12,14.2,0.3,0,1.5,0,0,0,0,0.15,1
Cucurella,CHE,DEF,Varela Futbol Club,True,79,0,0,0,1,0,0,0,0,0,0,0,16,18,4,2,2.4,1,0,0.02,0.02,0.69,1
Foden,MCI,MID,Varela Futbol Club,True,45,0,0,0,0,0,0,0,0,0,0,0,6,9,3.7,0,1.3,0,0,0.01,0.01,0.72,1
Rashford,AVL,MID,Varela Futbol Club,True,90,0,0,1,0,0,0,0,0,0,0,0,5,4.6,14.8,8,2.7,1,0,0.11,0.11,0.44,1
Adingra,BHA,MID,Varela Futbol Club,True,45,1,0,0,0,0,0,0,0,0,0,0,24,39.6,6.5,26,7.2,0,0.17,0.05,0.22,0.21,1
Mainoo,MUN,MID,Varela Futbol Club,True,83,0,0,1,0,0,0,0,0,0,0,0,21,12,3.7,1,1.7,1,0.03,0.01,0.04,0.38,1
Welbeck,BHA,FWD,Varela Futbol Club,True,90,1,1,1,0,0,0,0,0,0,0,3,41,61.4,24.8,25,11.1,1,0.2,0.04,0.24,0.45,1
G.Jesus,ARS,FWD,Varela Futbol Club,True,5,0,0,0,0,0,0,0,1,0,0,0,1,0.2,0.8,0,0.1,0,0,0,0,0.15,1
Steele,BHA,GKP,Varela Futbol Club,False,90,0,0,1,0,0,0,0,0,0,1,1,31,18.6,0,0,1.9,1,0,0,0,0.45,1
Almirón,NEW,MID,Varela Futbol Club,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toney,BRE,FWD,Varela Futbol Club,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Guéhi,CRY,DEF,Varela Futbol Club,False,90,0,0,0,2,0,0,0,1,0,0,0,9,21,2.6,0,2.4,1,0,0.02,0.02,1.59,1
Steele,BHA,GKP,Varela Futbol Club,True,90,0,0,0,1,0,0,0,0,0,2,0,15,21.8,0,0,2.2,1,0,0,0,1.43,2
Rúben,MCI,DEF,Varela Futbol Club,True,90,0,0,0,1,0,0,0,1,0,0,0,8,19.2,8.5,0,2.8,1,0,0.05,0.05,0.29,2
Udogie,TOT,DEF,Varela Futbol Club,True,72,0,0,1,0,0,0,0,0,0,0,0,30,5,4.2,4,1.3,1,0,0.01,0.01,1,2
Konaté,LIV,DEF,Varela Futbol Club,True,90,0,0,1,0,0,0,0,0,0,0,1,31,26,2.9,21,5,1,0.19,0.02,0.21,0.36,2
Guéhi,CRY,DEF,Varela Futbol Club,True,90,0,0,0,2,0,0,0,0,0,0,0,6,34.8,0.8,0,3.6,1,0,0.02,0.02,1.39,2
Cucurella,CHE,DEF,Varela Futbol Club,True,82,0,0,0,2,0,0,0,1,0,0,0,7,9.2,5.2,0,1.4,1,0,0.18,0.18,1.8,2
Rashford,AVL,MID,Varela Futbol Club,True,64,0,0,0,1,0,0,0,0,0,0,0,4,0,7.3,4,1.1,1,0,0.01,0.01,1.33,2
Almirón,NEW,MID,Varela Futbol Club,True,1,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.3,0,0.1,0,0,0,0,0.08,2
Adingra,BHA,MID,Varela Futbol Club,True,1,0,1,0,0,0,0,0,0,0,0,0,14,15.2,10.8,9,3.5,0,0.09,0.56,0.65,0.1,2
Mainoo,MUN,MID,Varela Futbol Club,True,90,0,0,0,2,0,0,0,1,0,0,0,18,14.4,1.3,4,2,1,0,0.01,0.01,2.09,2
Welbeck,BHA,FWD,Varela Futbol Club,True,78,1,0,0,1,0,0,0,0,0,0,3,38,40.8,23.7,59,12.4,1,1.11,0.02,1.13,1.32,2
