Player,Team,Position,Fantasy_team,Is_starter,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,GS2,EG,EA,EGI,EGC,GW
Areola,WHU,GKP,Wawrinka F.C.,True,90,0,0,0,2,0,0,0,0,0,1,0,5,10,0,0,1,1,0,0,0,2.03,1
Gabriel,ARS,DEF,Wawrinka F.C.,True,90,0,0,1,0,0,0,0,0,0,0,0,22,13.8,1.4,8,2.3,1,0.12,0.02,0.14,0.47,1
Zinchenko,ARS,DEF,Wawrinka F.C.,True,68,0,0,1,0,0,0,0,0,0,0,0,22,7.2,4.9,6,1.8,1,0,0.04,0.04,0.32,1
Bradley,LIV,DEF,Wawrinka F.C.,True,13,0,0,0,0,0,0,0,0,0,0,0,3,7.4,1.9,40,4.9,0,0.24,0.02,0.26,0.04,1
De Ligt,MUN,DEF,Wawrinka F.C.,True,9,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0.06,1
Son,TOT,MID,Wawrinka F.C.,True,90,0,0,0,1,0,0,0,0,0,0,0,18,12.6,32.2,22,6.7,1,0.03,0.3,0.33,0.96,1
Kudus,WHU,MID,Wawrinka F.C.,True,90,0,0,0,2,0,0,0,0,0,0,0,11,7.6,27.5,22,5.7,1,0.08,0.47,0.55,2.03,1
Garnacho,MUN,MID,Wawrinka F.C.,True,29,0,1,0,0,0,0,0,0,0,0,0,11,21.2,25,9,5.5,0,0.68,0.09,0.77,0.23,1
L.Paquetá,WHU,MID,Wawrinka F.C.,True,73,1,0,0,1,0,0,0,1,0,0,0,21,40.4,17,17,7.4,1,0.79,0.04,0.83,1.76,1
Mateta,CRY,FWD,Wawrinka F.C.,True,45,0,0,0,1,0,0,0,0,0,0,0,1,0,3.1,4,0.7,1,0,0.01,0.01,0.5,1
Wissa,BRE,FWD,Wawrinka F.C.,True,83,1,1,0,1,0,0,0,1,0,0,3,47,50.2,14.2,44,10.8,1,1,0.01,1.01,0.61,1
Muric,IPS,GKP,Wawrinka F.C.,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Neto,CHE,MID,Wawrinka F.C.,False,32,0,0,0,1,0,0,0,0,0,0,0,6,7.4,26.7,9,4.3,0,0.04,0.16,0.2,0.11,1
Quansah,LIV,DEF,Wawrinka F.C.,False,45,0,0,0,0,0,0,0,0,0,0,0,7,15.8,0.5,0,1.6,1,0,0,0,0.31,1
Nketiah,CRY,FWD,Wawrinka F.C.,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Areola,WHU,GKP,Wawrinka F.C.,True,90,0,0,1,0,0,0,0,0,0,2,0,24,15.8,0,0,1.6,1,0,0,0,1.35,2
Gabriel,ARS,DEF,Wawrinka F.C.,True,90,0,0,1,0,0,0,0,1,0,0,1,25,21.4,1.9,0,2.3,1,0,0.02,0.02,1.28,2
De Ligt,MUN,DEF,Wawrinka F.C.,True,11,0,0,0,1,0,0,0,0,0,0,0,1,9.6,0.2,0,1,0,0,0,0,0.6,2
Bradley,LIV,DEF,Wawrinka F.C.,True,18,0,0,0,0,0,0,0,0,0,0,0,4,2.6,1.7,2,0.6,0,0,0.01,0.01,0,2
Son,TOT,MID,Wawrinka F.C.,True,90,2,0,1,0,0,0,0,0,0,0,3,55,75.8,15.8,43,13.5,1,1.14,0.05,1.19,1,2
